, lat, lon, total_area, mean_width, mean_length, mean_depth, mean_elev, max_elev, min_elev
6176,29.784,84.637, 1.4000, 0.8000, 1.6000, 48.0000, 5968, 6245, 5690
6177,29.772,84.639, 0.3000, 0.4000, 0.7000, 20.0000, 5915, 6150, 5680
6178,29.766,84.638, 0.7000, 0.5000, 1.2000, 36.0000, 5985, 6230, 5740
6179,29.76,84.631, 1.3000, 1.1000, 1.2000, 46.0000, 5855, 6230, 5480
6180,29.76,84.622, 0.3000, 0.5000, 0.5000, 20.0000, 5892, 6123, 5660
6181,29.748,84.624, 1.9000, 0.9000, 2.2000, 53.0000, 5957, 6393, 5520
6182,29.74,84.615, 0.7000, 0.8000, 1.1000, 36.0000, 5890, 6230, 5550
6183,29.729,84.603, 2.3200, 1.5000, 1.4000, 57.0000, 5837, 6173, 5500
6184,29.731,84.591, 0.4000, 0.6000, 0.8000, 23.0000, 5855, 6070, 5640
6185,29.747,84.588, 0.2000, 0.4000, 0.6000, 17.0000, 5625, 5780, 5470
6186,29.742,84.58, 0.2000, 0.4000, 0.5000, 17.0000, 5779, 6000, 5558
6187,29.73,84.571, 1.9000, 1.0000, 2.0000, 53.0000, 5849, 6208, 5490
6188,29.736,84.552, 0.1700, 0.4000, 0.4000, 15.0000, 5765, 5850, 5680
6189,29.725,84.561, 0.2000, 0.4000, 0.4000, 17.0000, 5912, 6093, 5730
6190,29.721,84.579, 0.4000, 0.5000, 0.8000, 23.0000, 5885, 6100, 5670
6191,29.718,84.591, 1.4000, 0.9000, 1.4000, 48.0000, 5919, 6208, 5630
6192,29.708,84.597, 0.2000, 0.3000, 0.8000, 17.0000, 5805, 5950, 5660
6193,29.678,84.581, 0.3000, 0.5000, 0.5000, 20.0000, 5775, 5950, 5600
6194,29.68,84.539, 0.1200, 0.3000, 0.5000, 13.0000, 5800, 5900, 5700
6195,29.716,84.598, 0.2000, 0.3000, 0.8000, 17.0000, 5860, 6010, 5710
6196,29.721,84.605, 0.4500, 0.5000, 0.7000, 24.0000, 5931, 6173, 5688
6197,29.729,84.617, 1.0000, 0.5000, 1.5000, 42.0000, 5908, 6180, 5636
6198,29.737,84.628, 0.5000, 0.3000, 1.6000, 32.0000, 5875, 6090, 5660
6199,29.741,84.636, 1.2000, 0.8000, 1.2000, 45.0000, 6037, 6393, 5680
6200,29.732,84.675, 0.2000, 0.4000, 0.7000, 17.0000, 6080, 6310, 5850
6201,29.719,84.683, 0.3000, 0.4000, 0.8000, 20.0000, 5904, 6028, 5780
6202,29.709,84.688, 0.0500, 0.2000, 0.2000, 9.0000, 5910, 5960, 5860
6203,29.692,84.714, 0.2600, 0.8000, 0.3000, 19.0000, 6238, 6377, 6100
6204,29.688,84.714, 1.2400, 0.3000, 0.7000, 17.0000, 5930, 6120, 5840
6205,29.683,84.727, 0.0500, 0.1000, 0.2000, 9.0000, 6040, 6070, 6000
6206,29.703,84.741, 0.0900, 0.2000, 0.5000, 12.0000, 5947, 6094, 5800
6207,29.695,84.731, 0.7000, 0.6000, 1.1000, 36.0000, 5900, 6148, 5652
6208,29.695,84.717, 0.3100, 0.3000, 0.3000, 20.0000, 6140, 6377, 5900
6209,29.71,84.717, 0.7000, 0.7000, 0.9000, 36.0000, 6042, 6377, 5706
6210,29.715,84.712, 0.6000, 0.5000, 1.1000, 34.0000, 6013, 6270, 5756
6211,29.726,84.714, 0.9000, 0.6000, 1.4000, 40.0000, 5954, 6170, 5738
6212,29.714,84.695, 2.5000, 1.3000, 1.9000, 59.0000, 5845, 6120, 5570
